player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Danda,DEMU,"['omen', 'fade', 'sova']",385,0.95,176.8,0.91,71%,113.1,0.64,0.35,0.05,0.06,28%,17%,9621,trashcan,ap,False
Fragger,SAW,"['kayo', 'iso', 'sage']",382,0.95,190.0,0.93,70%,125.8,0.68,0.40,0.08,0.11,30%,20%,2755,SAW,ap,False
lenka,ZER.M,"['killjoy', 'brimstone', 'cypher']",348,0.95,187.5,0.94,71%,128.2,0.67,0.20,0.11,0.07,29%,15%,14613,Zerance Mint,ap,False
DESTRUCT1VEE,GAL,"['cypher', 'viper', 'astra']",629,0.95,185.7,0.94,70%,122.9,0.66,0.33,0.09,0.10,28%,18%,4762,Galakticos,ap,False
KPZET,BAR,"['clove', 'viper', 'omen']",222,0.94,177.5,0.89,73%,118.4,0.62,0.38,0.07,0.09,37%,14%,14461,Barça eSports,ap,False
MiniBoo,TH,"['raze', 'neon', 'kayo']",950,0.94,207.3,0.95,70%,136.8,0.71,0.21,0.16,0.16,30%,8%,1001,Team Heretics,ap,False
alexiiik,GN,"['neon', 'jett', 'raze']",496,0.94,210.6,1.03,66%,135.6,0.76,0.14,0.18,0.18,30%,7%,12474,GoNext Esports,ap,False
maniek,BAR,"['yoru', 'jett', 'neon']",499,0.94,218.7,1.01,65%,142.4,0.77,0.19,0.17,0.22,23%,17%,14461,Barça eSports,ap,False
Insider,KPI,"['cypher', 'killjoy', 'viper']",323,0.94,186.3,1.00,67%,129.2,0.65,0.17,0.10,0.08,34%,19%,6313,KPI Gaming,ap,False
Obnoks,MOUZ,"['sova', 'gekko', 'reyna']",634,0.94,182.8,0.89,73%,126.0,0.63,0.34,0.06,0.07,28%,12%,8044,MOUZ,ap,False
N,A,"['gekko', 'sova', 'harbor']",416,0.93,184.9,0.91,68%,124.6,0.65,0.24,0.06,0.07,29%,15%,13161,NOVO Esports,ap,False
luckeRRR,SGE,"['yoru', 'sage', 'cypher']",206,0.93,191.3,0.90,74%,124.7,0.64,0.31,0.11,0.10,22%,6%,14478,Eintracht Frankfurt,ap,False
