player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
marky,OAS,"['viper', 'sova', 'jett']",251,1.14,229.4,1.15,80%,150.5,0.82,0.29,0.17,0.14,26%,6%,3136,Oasis Gaming,jp,False
Ayumiii,RRQ.K,"['yoru', 'raze', 'sova']",272,1.13,242.6,1.17,74%,157.1,0.82,0.26,0.19,0.14,27%,17%,15327,BOBA,jp,False
xavi8k,OAS,"['killjoy', 'cypher']",251,1.13,226.1,1.18,76%,154.5,0.80,0.20,0.09,0.10,25%,13%,12118,Philippines,jp,False
K1LLERS,FPT,"['raze', 'neon', 'skye']",216,1.13,224.5,1.17,80%,147.5,0.78,0.36,0.13,0.09,26%,12%,14277,Team Flash,jp,False
PTC,FS,"['breach', 'fade', 'viper']",601,1.13,204.8,1.17,74%,132.7,0.75,0.39,0.08,0.08,30%,23%,4050,FULL SENSE,jp,False
Juicy,DSG,"['yoru', 'iso', 'jett']",420,1.12,214.2,1.21,75%,142.2,0.77,0.25,0.15,0.11,24%,15%,14773,Disguised,jp,False
Kon,SISU,"['sage', 'clove', 'sova']",358,1.12,222.0,1.13,73%,152.4,0.76,0.33,0.12,0.08,33%,8%,16040,sisu,jp,False
ZYND,ZOL,"['killjoy', 'cypher', 'jett']",414,1.12,229.5,1.18,73%,152.0,0.84,0.19,0.17,0.10,30%,12%,8375,ZOL Esports,jp,False
Potter,XIA,"['raze', 'jett']",395,1.11,251.9,1.14,69%,166.4,0.88,0.15,0.22,0.18,29%,22%,7397,XERXIA Esports,jp,False
Babytz,FSS,"['sova', 'skye', 'chamber']",272,1.11,211.0,1.16,68%,147.4,0.78,0.28,0.11,0.12,24%,18%,15327,BOBA,jp,False
LoyDreaM,GLAB,"['jett', 'raze']",206,1.11,238.8,1.16,72%,155.9,0.87,0.20,0.16,0.11,20%,21%,15052,JustUs,jp,False
wayne,DSG,"['omen', 'killjoy']",420,1.10,217.2,1.12,77%,138.2,0.75,0.39,0.10,0.05,27%,12%,14773,Disguised,jp,False
JA,NAOS,"['jett', 'killjoy', 'cypher']",417,1.10,224.1,1.16,74%,149.6,0.82,0.21,0.11,0.10,26%,8%,7031,NAOS,jp,False
123,KBLD,"['jett', 'raze', 'neon']",210,1.09,240.6,1.09,67%,161.6,0.83,0.17,0.14,0.16,28%,17%,16302,123,jp,False
lenne,LZE,"['sova', 'fade']",207,1.09,223.6,1.05,71%,145.2,0.73,0.37,0.09,0.06,21%,19%,3351,LaZe,jp,False
Leviathan,FS,"['omen', 'viper', 'clove']",601,1.08,205.6,1.10,74%,135.8,0.75,0.37,0.08,0.07,34%,20%,4050,FULL SENSE,jp,False
foxz,FS,"['sova', 'gekko', 'breach']",601,1.08,204.5,1.06,74%,139.1,0.72,0.34,0.09,0.06,28%,20%,4050,FULL SENSE,jp,False
Suka,RLF,"['viper', 'breach', 'kayo']",345,1.08,216.8,1.04,73%,151.2,0.78,0.39,0.07,0.08,27%,12%,11276,Rapid Lofi,jp,False
woody,ARF,"['gekko', 'sova', 'kayo']",257,1.08,209.6,1.03,74%,138.9,0.74,0.43,0.05,0.05,32%,8%,8925,ARF TEAM,jp,False
d4v41,PRX,"['killjoy', 'sage', 'fade']",483,1.08,199.5,1.06,75%,135.1,0.70,0.37,0.06,0.07,28%,19%,624,Paper Rex,jp,False
Sampphire,MLT.GC,"['gekko', 'sova', 'breach']",310,1.07,192.4,1.05,74%,134.6,0.70,0.33,0.03,0.05,29%,25%,15899,Cardboard Dinosaur,jp,False
coconut,OF,"['sova', 'cypher', 'gekko']",306,1.07,214.3,1.07,70%,144.9,0.75,0.21,0.08,0.10,33%,16%,3108,Oblivion Force,jp,False
Kush,GRD,"['fade', 'skye', 'gekko']",329,1.07,224.5,1.09,73%,150.0,0.78,0.33,0.12,0.10,37%,11%,1110,Alter Ego,jp,False
grahams,SISU,"['reyna', 'raze', 'kayo']",358,1.07,221.0,1.11,73%,145.8,0.75,0.25,0.14,0.14,33%,16%,16040,sisu,jp,False
f0rsakeN,PRX,"['kayo', 'breach', 'cypher']",483,1.07,215.6,1.06,74%,139.9,0.76,0.42,0.08,0.10,31%,13%,624,Paper Rex,jp,False
pudj,ELV,"['fade', 'gekko', 'jett']",296,1.06,195.1,1.06,73%,134.3,0.70,0.27,0.08,0.09,26%,17%,15782,ELEVATE,jp,False
theDoctorr,RDA,"['omen', 'breach', 'brimstone']",418,1.06,209.2,0.99,71%,134.9,0.72,0.41,0.08,0.08,36%,14%,14790,Reve Drift Arena,jp,False
Tweeya,(+2),"['clove', 'viper', 'raze']",320,1.06,223.9,1.05,73%,147.3,0.79,0.29,0.05,0.10,17%,9%,15319,4Fun,jp,False
ValdyN,AE,"['reyna', 'omen', 'breach']",329,1.05,193.5,1.04,75%,127.4,0.71,0.36,0.08,0.07,35%,14%,1110,Alter Ego,jp,False
Alluka,RRQ.K,"['sage', 'harbor', 'breach']",272,1.05,189.3,1.03,74%,119.8,0.67,0.44,0.08,0.04,23%,13%,15327,BOBA,jp,False
nex1SphiX,MGLZ,"['omen', 'viper', 'brimstone']",281,1.05,199.9,1.08,72%,132.7,0.73,0.30,0.07,0.09,32%,13%,15237,The MongolZ,jp,False
PatMen,ZOL,"['breach', 'skye', 'kayo']",414,1.05,224.7,1.08,74%,148.5,0.79,0.30,0.11,0.08,31%,15%,8375,ZOL Esports,jp,False
STYRON,DSG,"['skye', 'sova', 'breach']",420,1.04,175.7,1.09,75%,115.3,0.62,0.29,0.06,0.06,23%,19%,14773,Disguised,jp,False
Kevzii,ZOL,"['sova', 'gekko', 'kayo']",414,1.04,191.3,1.00,71%,132.2,0.67,0.29,0.08,0.07,30%,15%,8375,ZOL Esports,jp,False
Mojer,NAOS,"['raze', 'jett', 'neon']",417,1.04,243.8,1.07,74%,156.4,0.82,0.22,0.18,0.18,26%,17%,7031,NAOS,jp,False
shina,4F,"['jett', 'killjoy', 'cypher']",320,1.04,192.7,1.01,66%,133.3,0.70,0.15,0.12,0.09,29%,19%,15319,4Fun,jp,False
Felce,NE,"['clove', 'fade', 'sova']",324,1.04,208.7,1.04,77%,137.1,0.75,0.30,0.06,0.03,33%,19%,15911,invincible gc,jp,False
Divine,SGP,"['omen', 'viper']",207,1.04,193.0,0.99,71%,125.7,0.70,0.37,0.06,0.08,37%,20%,3351,LaZe,jp,False
Sushiboys,FS,"['cypher', 'brimstone', 'killjoy']",601,1.03,201.5,1.03,73%,131.7,0.70,0.32,0.07,0.07,24%,19%,4050,FULL SENSE,jp,False
BerserX,BME,"['killjoy', 'cypher']",475,1.03,187.5,1.05,75%,129.2,0.65,0.27,0.07,0.08,23%,21%,466,BOOM Esports,jp,False
Kntz,MITH,"['astra', 'omen', 'brimstone']",366,1.03,174.4,1.05,77%,113.6,0.68,0.34,0.06,0.05,30%,17%,4210,Made in Thailand,jp,False
Killua,MITH,"['breach', 'killjoy', 'skye']",366,1.02,227.6,1.10,70%,151.6,0.82,0.21,0.11,0.12,36%,11%,4210,Made in Thailand,jp,False
JohnOlsen,FS,"['raze', 'neon', 'jett']",601,1.02,235.2,1.05,70%,156.1,0.82,0.21,0.21,0.18,28%,5%,4050,FULL SENSE,jp,False
gotten,AE,"['brimstone', 'omen', 'killjoy']",309,1.01,190.2,1.00,74%,129.2,0.68,0.35,0.08,0.05,30%,18%,1110,Alter Ego,jp,False
something,PRX,"['jett', 'gekko', 'reyna']",483,1.01,202.4,1.04,70%,132.0,0.73,0.21,0.15,0.12,29%,13%,624,Paper Rex,jp,False
